code,feature_start_index,target_start_index,target_end_index
stock_601989.csv,60,180,240
stock_601989.csv,81,201,261
stock_601989.csv,102,222,282
stock_601989.csv,123,243,303
stock_601989.csv,144,264,324
stock_601989.csv,165,285,345
stock_601989.csv,186,306,366
stock_601989.csv,207,327,387
stock_601989.csv,228,348,408
stock_601989.csv,249,369,429
stock_601989.csv,270,390,450
stock_601989.csv,291,411,471
stock_601989.csv,312,432,492
stock_601989.csv,333,453,513
stock_601989.csv,354,474,534
stock_601989.csv,375,495,555
stock_601989.csv,396,516,576
stock_601989.csv,417,537,597
stock_601989.csv,438,558,618
stock_601989.csv,459,579,639
stock_601989.csv,480,600,660
stock_601989.csv,501,621,681
stock_601989.csv,522,642,702
stock_601989.csv,543,663,723
stock_601989.csv,564,684,744
stock_601989.csv,585,705,765
stock_601989.csv,606,726,786
stock_601989.csv,627,747,807
stock_601989.csv,648,768,828
stock_601989.csv,669,789,849
stock_601989.csv,690,810,870
stock_601989.csv,711,831,891
stock_601989.csv,732,852,912
stock_601989.csv,753,873,933
stock_601989.csv,774,894,954
stock_601989.csv,795,915,975
stock_601989.csv,816,936,996
stock_601989.csv,837,957,1017
stock_601989.csv,858,978,1038
stock_601989.csv,879,999,1059
stock_601989.csv,900,1020,1080
stock_601989.csv,921,1041,1101
stock_601989.csv,942,1062,1122
stock_601989.csv,963,1083,1143
stock_601989.csv,984,1104,1164
stock_600872.csv,60,180,240
stock_600872.csv,81,201,261
stock_600872.csv,102,222,282
stock_600872.csv,123,243,303
stock_600872.csv,144,264,324
stock_600872.csv,165,285,345
stock_600872.csv,186,306,366
stock_600872.csv,207,327,387
stock_600872.csv,228,348,408
stock_600872.csv,249,369,429
stock_600872.csv,270,390,450
stock_600872.csv,291,411,471
stock_600872.csv,312,432,492
stock_600872.csv,333,453,513
stock_600872.csv,354,474,534
stock_600872.csv,375,495,555
stock_600872.csv,396,516,576
stock_600872.csv,417,537,597
stock_600872.csv,438,558,618
stock_600872.csv,459,579,639
stock_600872.csv,480,600,660
stock_600872.csv,501,621,681
stock_600872.csv,522,642,702
stock_600872.csv,543,663,723
stock_600872.csv,564,684,744
stock_600872.csv,585,705,765
stock_600872.csv,606,726,786
stock_600872.csv,627,747,807
stock_600872.csv,648,768,828
stock_600872.csv,669,789,849
stock_600872.csv,690,810,870
stock_600872.csv,711,831,891
stock_600872.csv,732,852,912
stock_600872.csv,753,873,933
stock_600872.csv,774,894,954
stock_600872.csv,795,915,975
stock_600872.csv,816,936,996
stock_600872.csv,837,957,1017
stock_600872.csv,858,978,1038
stock_600872.csv,879,999,1059
stock_600872.csv,900,1020,1080
stock_600872.csv,921,1041,1101
stock_600872.csv,942,1062,1122
stock_600872.csv,963,1083,1143
stock_600872.csv,984,1104,1164
stock_600872.csv,1005,1125,1185
stock_000066.csv,60,180,240
stock_000066.csv,81,201,261
stock_000066.csv,102,222,282
stock_000066.csv,123,243,303
stock_000066.csv,144,264,324
stock_000066.csv,165,285,345
stock_000066.csv,186,306,366
stock_000066.csv,207,327,387
stock_000066.csv,228,348,408
stock_000066.csv,249,369,429
stock_000066.csv,270,390,450
stock_000066.csv,291,411,471
stock_000066.csv,312,432,492
stock_000066.csv,333,453,513
stock_000066.csv,354,474,534
stock_000066.csv,375,495,555
stock_000066.csv,396,516,576
stock_000066.csv,417,537,597
stock_000066.csv,438,558,618
stock_000066.csv,459,579,639
stock_000066.csv,480,600,660
stock_000066.csv,501,621,681
stock_000066.csv,522,642,702
stock_000066.csv,543,663,723
stock_000066.csv,564,684,744
stock_000066.csv,585,705,765
stock_000066.csv,606,726,786
stock_000066.csv,627,747,807
stock_000066.csv,648,768,828
stock_000066.csv,669,789,849
stock_000066.csv,690,810,870
stock_000066.csv,711,831,891
stock_000066.csv,732,852,912
stock_000066.csv,753,873,933
stock_000066.csv,774,894,954
stock_000066.csv,795,915,975
stock_000066.csv,816,936,996
stock_000066.csv,837,957,1017
stock_000066.csv,858,978,1038
stock_000066.csv,879,999,1059
stock_000066.csv,900,1020,1080
stock_000066.csv,921,1041,1101
stock_000066.csv,942,1062,1122
stock_600989.csv,60,180,240
stock_600989.csv,81,201,261
stock_600989.csv,102,222,282
stock_600989.csv,123,243,303
stock_600989.csv,144,264,324
stock_600989.csv,165,285,345
stock_600989.csv,186,306,366
stock_600989.csv,207,327,387
stock_600989.csv,228,348,408
stock_600989.csv,249,369,429
stock_600989.csv,270,390,450
stock_600989.csv,291,411,471
stock_600989.csv,312,432,492
stock_600989.csv,333,453,513
stock_002916.csv,60,180,240
stock_002916.csv,81,201,261
stock_002916.csv,102,222,282
stock_002916.csv,123,243,303
stock_002916.csv,144,264,324
stock_002916.csv,165,285,345
stock_002916.csv,186,306,366
stock_002916.csv,207,327,387
stock_002916.csv,228,348,408
stock_002916.csv,249,369,429
stock_002916.csv,270,390,450
stock_002916.csv,291,411,471
stock_002916.csv,312,432,492
stock_002916.csv,333,453,513
stock_002916.csv,354,474,534
stock_002916.csv,375,495,555
stock_002916.csv,396,516,576
stock_002916.csv,417,537,597
stock_002916.csv,438,558,618
stock_002916.csv,459,579,639
stock_002916.csv,480,600,660
stock_002916.csv,501,621,681
stock_002916.csv,522,642,702
stock_002916.csv,543,663,723
stock_002916.csv,564,684,744
stock_601012.csv,60,180,240
stock_601012.csv,81,201,261
stock_601012.csv,102,222,282
stock_601012.csv,123,243,303
stock_601012.csv,144,264,324
stock_601012.csv,165,285,345
stock_601012.csv,186,306,366
stock_601012.csv,207,327,387
stock_601012.csv,228,348,408
stock_601012.csv,249,369,429
stock_601012.csv,270,390,450
stock_601012.csv,291,411,471
stock_601012.csv,312,432,492
stock_601012.csv,333,453,513
stock_601012.csv,354,474,534
stock_601012.csv,375,495,555
stock_601012.csv,396,516,576
stock_601012.csv,417,537,597
stock_601012.csv,438,558,618
stock_601012.csv,459,579,639
stock_601012.csv,480,600,660
stock_601012.csv,501,621,681
stock_601012.csv,522,642,702
stock_601012.csv,543,663,723
stock_601012.csv,564,684,744
stock_601012.csv,585,705,765
stock_601012.csv,606,726,786
stock_601012.csv,627,747,807
stock_601012.csv,648,768,828
stock_601012.csv,669,789,849
stock_601012.csv,690,810,870
stock_601012.csv,711,831,891
stock_601012.csv,732,852,912
stock_601012.csv,753,873,933
stock_601012.csv,774,894,954
stock_601012.csv,795,915,975
stock_601012.csv,816,936,996
stock_601012.csv,837,957,1017
stock_601012.csv,858,978,1038
stock_601012.csv,879,999,1059
stock_601012.csv,900,1020,1080
stock_601012.csv,921,1041,1101
stock_601012.csv,942,1062,1122
stock_601012.csv,963,1083,1143
stock_601012.csv,984,1104,1164
stock_601012.csv,1005,1125,1185
stock_601012.csv,1026,1146,1206
stock_601012.csv,1047,1167,1227
stock_601012.csv,1068,1188,1248
stock_600028.csv,60,180,240
stock_600028.csv,81,201,261
stock_600028.csv,102,222,282
stock_600028.csv,123,243,303
stock_600028.csv,144,264,324
stock_600028.csv,165,285,345
stock_600028.csv,186,306,366
stock_600028.csv,207,327,387
stock_600028.csv,228,348,408
stock_600028.csv,249,369,429
stock_600028.csv,270,390,450
stock_600028.csv,291,411,471
stock_600028.csv,312,432,492
stock_600028.csv,333,453,513
stock_600028.csv,354,474,534
stock_600028.csv,375,495,555
stock_600028.csv,396,516,576
stock_600028.csv,417,537,597
stock_600028.csv,438,558,618
stock_600028.csv,459,579,639
stock_600028.csv,480,600,660
stock_600028.csv,501,621,681
stock_600028.csv,522,642,702
stock_600028.csv,543,663,723
stock_600028.csv,564,684,744
stock_600028.csv,585,705,765
stock_600028.csv,606,726,786
stock_600028.csv,627,747,807
stock_600028.csv,648,768,828
stock_600028.csv,669,789,849
stock_600028.csv,690,810,870
stock_600028.csv,711,831,891
stock_600028.csv,732,852,912
stock_600028.csv,753,873,933
stock_600028.csv,774,894,954
stock_600028.csv,795,915,975
stock_600028.csv,816,936,996
stock_600028.csv,837,957,1017
stock_600028.csv,858,978,1038
stock_600028.csv,879,999,1059
stock_600028.csv,900,1020,1080
stock_600028.csv,921,1041,1101
stock_600028.csv,942,1062,1122
stock_600028.csv,963,1083,1143
stock_600028.csv,984,1104,1164
stock_600028.csv,1005,1125,1185
stock_600028.csv,1026,1146,1206
stock_600028.csv,1047,1167,1227
stock_600028.csv,1068,1188,1248
stock_000069.csv,60,180,240
stock_000069.csv,81,201,261
stock_000069.csv,102,222,282
stock_000069.csv,123,243,303
stock_000069.csv,144,264,324
stock_000069.csv,165,285,345
stock_000069.csv,186,306,366
stock_000069.csv,207,327,387
stock_000069.csv,228,348,408
stock_000069.csv,249,369,429
stock_000069.csv,270,390,450
stock_000069.csv,291,411,471
stock_000069.csv,312,432,492
stock_000069.csv,333,453,513
stock_000069.csv,354,474,534
stock_000069.csv,375,495,555
stock_000069.csv,396,516,576
stock_000069.csv,417,537,597
stock_000069.csv,438,558,618
stock_000069.csv,459,579,639
stock_000069.csv,480,600,660
stock_000069.csv,501,621,681
stock_000069.csv,522,642,702
stock_000069.csv,543,663,723
stock_000069.csv,564,684,744
stock_000069.csv,585,705,765
stock_000069.csv,606,726,786
stock_000069.csv,627,747,807
stock_000069.csv,648,768,828
stock_000069.csv,669,789,849
stock_000069.csv,690,810,870
stock_000069.csv,711,831,891
stock_000069.csv,732,852,912
stock_000069.csv,753,873,933
stock_000069.csv,774,894,954
stock_000069.csv,795,915,975
stock_000069.csv,816,936,996
stock_000069.csv,837,957,1017
stock_000069.csv,858,978,1038
stock_000069.csv,879,999,1059
stock_000069.csv,900,1020,1080
stock_000069.csv,921,1041,1101
stock_000069.csv,942,1062,1122
stock_000069.csv,963,1083,1143
stock_000069.csv,984,1104,1164
stock_000069.csv,1005,1125,1185
stock_000069.csv,1026,1146,1206
stock_000069.csv,1047,1167,1227
stock_000786.csv,60,180,240
stock_000786.csv,81,201,261
stock_000786.csv,102,222,282
stock_000786.csv,123,243,303
stock_000786.csv,144,264,324
stock_000786.csv,165,285,345
stock_000786.csv,186,306,366
stock_000786.csv,207,327,387
stock_000786.csv,228,348,408
stock_000786.csv,249,369,429
stock_000786.csv,270,390,450
stock_000786.csv,291,411,471
stock_000786.csv,312,432,492
stock_000786.csv,333,453,513
stock_000786.csv,354,474,534
stock_000786.csv,375,495,555
stock_000786.csv,396,516,576
stock_000786.csv,417,537,597
stock_000786.csv,438,558,618
stock_000786.csv,459,579,639
stock_000786.csv,480,600,660
stock_000786.csv,501,621,681
stock_000786.csv,522,642,702
stock_000786.csv,543,663,723
stock_000786.csv,564,684,744
stock_000786.csv,585,705,765
stock_000786.csv,606,726,786
stock_000786.csv,627,747,807
stock_000786.csv,648,768,828
stock_000786.csv,669,789,849
stock_000786.csv,690,810,870
stock_000786.csv,711,831,891
stock_000786.csv,732,852,912
stock_000786.csv,753,873,933
stock_000786.csv,774,894,954
stock_000786.csv,795,915,975
stock_000786.csv,816,936,996
stock_000786.csv,837,957,1017
stock_000786.csv,858,978,1038
stock_000786.csv,879,999,1059
stock_000786.csv,900,1020,1080
stock_000786.csv,921,1041,1101
stock_000786.csv,942,1062,1122
stock_000786.csv,963,1083,1143
stock_000786.csv,984,1104,1164
stock_600958.csv,60,180,240
stock_600958.csv,81,201,261
stock_600958.csv,102,222,282
stock_600958.csv,123,243,303
stock_600958.csv,144,264,324
